Korean,English,Etymology,Part of Speech,Example Sentence,Sentence Translation,Part Of Speech
단위,unit,"單 (단: single, simple) + 位 (위: position, rank, unit)",Noun,"반대로 친구들과 여행을 갈 때 분 단위로 엑셀 계획표를 짜오는 친구에게는 ""너 완전 파워 J(계획형)구나!""라며 감탄하기도 합니다.","Conversely, when traveling with friends, they might exclaim with admiration to a friend who creates an Excel itinerary planned down to the minute, 'You're totally a power J (planner type)!'",
엑셀,Excel,Loanword from English,Noun,"반대로 친구들과 여행을 갈 때 분 단위로 엑셀 계획표를 짜오는 친구에게는 ""너 완전 파워 J(계획형)구나!""라며 감탄하기도 합니다.","Conversely, when traveling with friends, they might exclaim with admiration to a friend who creates an Excel itinerary planned down to the minute, 'You're totally a power J (planner type)!'",
계획표,"plan, itinerary, schedule","計 (계: calculate, plan) + 劃 (획: draw, delimit, plan) + 表 (표: table, chart, list)",Noun,"반대로 친구들과 여행을 갈 때 분 단위로 엑셀 계획표를 짜오는 친구에게는 ""너 완전 파워 J(계획형)구나!""라며 감탄하기도 합니다.","Conversely, when traveling with friends, they might exclaim with admiration to a friend who creates an Excel itinerary planned down to the minute, 'You're totally a power J (planner type)!'",
짜다,"to make, to create, to draw up (a plan)",Pure Korean,Verb,"반대로 친구들과 여행을 갈 때 분 단위로 엑셀 계획표를 짜오는 친구에게는 ""너 완전 파워 J(계획형)구나!""라며 감탄하기도 합니다.","Conversely, when traveling with friends, they might exclaim with admiration to a friend who creates an Excel itinerary planned down to the minute, 'You're totally a power J (planner type)!'",
완전,"completely, totally","完 (완: complete, finish) + 全 (전: all, whole)",Adverb,"반대로 친구들과 여행을 갈 때 분 단위로 엑셀 계획표를 짜오는 친구에게는 ""너 완전 파워 J(계획형)구나!""라며 감탄하기도 합니다.","Conversely, when traveling with friends, they might exclaim with admiration to a friend who creates an Excel itinerary planned down to the minute, 'You're totally a power J (planner type)!'",
파워,power,Loanword from English,Noun,"반대로 친구들과 여행을 갈 때 분 단위로 엑셀 계획표를 짜오는 친구에게는 ""너 완전 파워 J(계획형)구나!""라며 감탄하기도 합니다.","Conversely, when traveling with friends, they might exclaim with admiration to a friend who creates an Excel itinerary planned down to the minute, 'You're totally a power J (planner type)!'",
계획,"plan, scheme","計 (계: calculate, plan) + 劃 (획: draw, delimit, plan)",Noun,"반대로 친구들과 여행을 갈 때 분 단위로 엑셀 계획표를 짜오는 친구에게는 ""너 완전 파워 J(계획형)구나!""라며 감탄하기도 합니다.","Conversely, when traveling with friends, they might exclaim with admiration to a friend who creates an Excel itinerary planned down to the minute, 'You're totally a power J (planner type)!'",
감탄,"admiration, exclamation of wonder","感 (감: feel, sense) + 歎 (탄: sigh, admire, exclaim)",Noun,"반대로 친구들과 여행을 갈 때 분 단위로 엑셀 계획표를 짜오는 친구에게는 ""너 완전 파워 J(계획형)구나!""라며 감탄하기도 합니다.","Conversely, when traveling with friends, they might exclaim with admiration to a friend who creates an Excel itinerary planned down to the minute, 'You're totally a power J (planner type)!'",
왜,why,Pure Korean,Adverb,그렇다면 왜 유독 한국인들은 이렇게 MBTI에 열광하고 과몰입하는 걸까요?,"If that's the case, why do Koreans, in particular, get so enthusiastic and overly immersed in MBTI?",
유독,"especially, uniquely","唯 (유: only, merely) + 獨 (독: alone, single)",Adverb,그렇다면 왜 유독 한국인들은 이렇게 MBTI에 열광하고 과몰입하는 걸까요?,"If that's the case, why do Koreans, in particular, get so enthusiastic and overly immersed in MBTI?",
한국인,Korean (person),韓 (한: Korea) + 國 (국: country) + 人 (인: person),Noun,그렇다면 왜 유독 한국인들은 이렇게 MBTI에 열광하고 과몰입하는 걸까요?,"If that's the case, why do Koreans, in particular, get so enthusiastic and overly immersed in MBTI?",
열광,"enthusiasm, frenzy","熱 (열: hot, fever) + 狂 (광: mad, wild)",Noun,그렇다면 왜 유독 한국인들은 이렇게 MBTI에 열광하고 과몰입하는 걸까요?,"If that's the case, why do Koreans, in particular, get so enthusiastic and overly immersed in MBTI?",
몰입,"immersion, deep involvement","沒 (몰: sink, disappear, immerse) + 入 (입: enter)",Noun,그렇다면 왜 유독 한국인들은 이렇게 MBTI에 열광하고 과몰입하는 걸까요?,"If that's the case, why do Koreans, in particular, get so enthusiastic and overly immersed in MBTI?",
거,thing,Pure Korean,Noun,그렇다면 왜 유독 한국인들은 이렇게 MBTI에 열광하고 과몰입하는 걸까요?,"If that's the case, why are Koreans uniquely so enthusiastic and overly immersed in MBTI?",
심리학자,psychologist,"心 (심: heart, mind) + 理 (리: reason, principle) + 學 (학: learn, study) + 者 (자: person, expert)",Noun,많은 심리학자와 사회학자들은 이것이 한국 특유의 '빨리빨리' 문화와 극심한 경쟁 사회의 단면을 보여준다고 분석합니다.,Many psychologists and sociologists analyze that this shows a cross-section of Korea's unique 'ppalli-ppalli' culture and intensely competitive society.,
사회학자,sociologist,"社 (사: society, company) + 會 (회: gather, meet) + 學 (학: learn, study) + 者 (자: person, expert)",Noun,많은 심리학자와 사회학자들은 이것이 한국 특유의 '빨리빨리' 문화와 극심한 경쟁 사회의 단면을 보여준다고 분석합니다.,Many psychologists and sociologists analyze that this shows a cross-section of Korea's unique 'ppalli-ppalli' culture and intensely competitive society.,
특유,unique,"特 (특: special, unique) + 有 (유: have, possess)",Noun,많은 심리학자와 사회학자들은 이것이 한국 특유의 '빨리빨리' 문화와 극심한 경쟁 사회의 단면을 보여준다고 분석합니다.,Many psychologists and sociologists analyze that this shows a cross-section of Korea's unique 'ppalli-ppalli' culture and intensely competitive society.,
빨리빨리,"quickly, hurry-hurry",Pure Korean,Adverb,많은 심리학자와 사회학자들은 이것이 한국 특유의 '빨리빨리' 문화와 극심한 경쟁 사회의 단면을 보여준다고 분석합니다.,Many psychologists and sociologists analyze that this shows a cross-section of Korea's unique 'ppalli-ppalli' culture and intensely competitive society.,
문화,culture,"文 (문: culture, writing) + 化 (화: change, transform)",Noun,많은 심리학자와 사회학자들은 이것이 한국 특유의 '빨리빨리' 문화와 극심한 경쟁 사회의 단면을 보여준다고 분석합니다.,Many psychologists and sociologists analyze that this shows a cross-section of Korea's unique 'ppalli-ppalli' culture and intensely competitive society.,
경쟁,competition,"競 (경: contend, compete) + 爭 (쟁: contend, fight)",Noun,많은 심리학자와 사회학자들은 이것이 한국 특유의 '빨리빨리' 문화와 극심한 경쟁 사회의 단면을 보여준다고 분석합니다.,Many psychologists and sociologists analyze that this shows a cross-section of Korea's unique 'ppalli-ppalli' culture and intensely competitive society.,
단면,"cross-section, aspect","斷 (단: cut, sever) + 面 (면: face, surface)",Noun,많은 심리학자와 사회학자들은 이것이 한국 특유의 '빨리빨리' 문화와 극심한 경쟁 사회의 단면을 보여준다고 분석합니다.,Many psychologists and sociologists analyze that this shows a cross-section of Korea's unique 'ppalli-ppalli' culture and intensely competitive society.,
보이다,"to show, to be seen",Pure Korean,Verb,많은 심리학자와 사회학자들은 이것이 한국 특유의 '빨리빨리' 문화와 극심한 경쟁 사회의 단면을 보여준다고 분석합니다.,Many psychologists and sociologists analyze that this shows a cross-section of Korea's unique 'ppalli-ppalli' culture and intensely competitive society.,
바쁘다,to be busy,Pure Korean,Adjective,"바쁘고 피곤한 현대 사회에서, 타인을 오랜 시간 공들여 파악할 여유가 없기 때문입니다.","This is because in busy and tiring modern society, there is no time to painstakingly understand others.",
피곤,"fatigue, tiredness","疲 (피: tired, weary) + 困 (곤: distress, difficulty)",Noun,"바쁘고 피곤한 현대 사회에서, 타인을 오랜 시간 공들여 파악할 여유가 없기 때문입니다.","This is because in busy and tiring modern society, there is no time to painstakingly understand others.",
현대,"modern times, present age","現 (현: present, appear) + 代 (대: generation, era)",Noun,"바쁘고 피곤한 현대 사회에서, 타인을 오랜 시간 공들여 파악할 여유가 없기 때문입니다.","This is because in busy and tiring modern society, there is no time to painstakingly understand others.",
타인,"others, other people",他 (타: other) + 人 (인: person),Noun,"바쁘고 피곤한 현대 사회에서, 타인을 오랜 시간 공들여 파악할 여유가 없기 때문입니다.","This is because in busy and tiring modern society, there is no time to painstakingly understand others.",
시간,time,"時 (시: time, hour) + 間 (간: between, interval)",Noun,"바쁘고 피곤한 현대 사회에서, 타인을 오랜 시간 공들여 파악할 여유가 없기 때문입니다.","This is because in busy and tiring modern society, there is no time to painstakingly understand others.",
공들이다,"to put effort into, to painstakingly work on",Pure Korean,Verb,"바쁘고 피곤한 현대 사회에서, 타인을 오랜 시간 공들여 파악할 여유가 없기 때문입니다.","This is because in busy and tiring modern society, there is no time to painstakingly understand others.",
파악,"understanding, grasp","把 (파: grasp, hold) + 握 (악: grasp, hold)",Noun,"바쁘고 피곤한 현대 사회에서, 타인을 오랜 시간 공들여 파악할 여유가 없기 때문입니다.","This is because in busy and tiring modern society, there is no time to painstakingly understand others.",
여유,"leisure, spare time, room (to do something)","餘 (여: surplus, leftover) + 裕 (유: ample, affluent)",Noun,"바쁘고 피곤한 현대 사회에서, 타인을 오랜 시간 공들여 파악할 여유가 없기 때문입니다.","This is because in busy and tiring modern society, there is no time to painstakingly understand others.",
없다,"to not exist, to not have",Pure Korean,Adjective,"바쁘고 피곤한 현대 사회에서, 타인을 오랜 시간 공들여 파악할 여유가 없기 때문입니다.","This is because in busy and tiring modern society, there is no time to painstakingly understand others.",
때문,"reason, cause",Pure Korean,Noun,"바쁘고 피곤한 현대 사회에서, 타인을 오랜 시간 공들여 파악할 여유가 없기 때문입니다.","This is because in busy and tiring modern society, there is no time to painstakingly understand others.",
그래서,"so, therefore",Pure Korean,Adverb,그래서 16개의 정해진 카테고리 속에 사람을 집어넣고 빠르고 효율적으로 상대방을 예측하고 싶어 한다는 것입니다.,That is why they want to categorize people into 16 predefined categories and quickly and efficiently predict others.,
정하다,"to decide, to set, to define",Pure Korean,Verb,그래서 16개의 정해진 카테고리 속에 사람을 집어넣고 빠르고 효율적으로 상대방을 예측하고 싶어 한다는 것입니다.,That is why they want to categorize people into 16 predefined categories and quickly and efficiently predict others.,
카테고리,category,Pure Korean,Noun,그래서 16개의 정해진 카테고리 속에 사람을 집어넣고 빠르고 효율적으로 상대방을 예측하고 싶어 한다는 것입니다.,That is why they want to categorize people into 16 predefined categories and quickly and efficiently predict others.,
집어넣다,"to put in, to shove in, to categorize",Pure Korean,Verb,그래서 16개의 정해진 카테고리 속에 사람을 집어넣고 빠르고 효율적으로 상대방을 예측하고 싶어 한다는 것입니다.,That is why they want to categorize people into 16 predefined categories and quickly and efficiently predict others.,
빠르다,"to be fast, to be quick",Pure Korean,Adjective,그래서 16개의 정해진 카테고리 속에 사람을 집어넣고 빠르고 효율적으로 상대방을 예측하고 싶어 한다는 것입니다.,That is why they want to categorize people into 16 predefined categories and quickly and efficiently predict others.,
효율,efficiency,"效 (효: effect, efficiency) + 率 (율: rate, ratio)",Noun,그래서 16개의 정해진 카테고리 속에 사람을 집어넣고 빠르고 효율적으로 상대방을 예측하고 싶어 한다는 것입니다.,That is why they want to categorize people into 16 predefined categories and quickly and efficiently predict others.,
예측,prediction,"豫 (예: beforehand, previously) + 測 (측: measure, conjecture)",Noun,그래서 16개의 정해진 카테고리 속에 사람을 집어넣고 빠르고 효율적으로 상대방을 예측하고 싶어 한다는 것입니다.,That is why they want to categorize people into 16 predefined categories and quickly and efficiently predict others.,
또한,"also, furthermore, in addition",Pure Korean,Adverb,"또한, 소속감을 중요하게 생각하는 한국 문화의 특성상 ""나와 같은 유형의 사람들이 이렇게 많구나""라는 사실에서 심리적 안정감을 얻기도 합니다.","Furthermore, due to the characteristic of Korean culture that highly values a sense of belonging, people also gain psychological stability from the fact that 'there are so many people of my type'.",
소속감,sense of belonging,"所 (소: place, that which) + 屬 (속: belong to) + 感 (감: feeling, sense)",Noun,"또한, 소속감을 중요하게 생각하는 한국 문화의 특성상 ""나와 같은 유형의 사람들이 이렇게 많구나""라는 사실에서 심리적 안정감을 얻기도 합니다.","Furthermore, due to the characteristic of Korean culture that highly values a sense of belonging, people also gain psychological stability from the fact that 'there are so many people of my type'.",
중요,importance,"重 (중: heavy, important) + 要 (요: essential, need)",Noun,"또한, 소속감을 중요하게 생각하는 한국 문화의 특성상 ""나와 같은 유형의 사람들이 이렇게 많구나""라는 사실에서 심리적 안정감을 얻기도 합니다.","Furthermore, due to the characteristic of Korean culture that highly values a sense of belonging, people also gain psychological stability from the fact that 'there are so many people of my type'.",
생각,"thought, idea, consideration",Pure Korean,Noun,"또한, 소속감을 중요하게 생각하는 한국 문화의 특성상 ""나와 같은 유형의 사람들이 이렇게 많구나""라는 사실에서 심리적 안정감을 얻기도 합니다.","Furthermore, due to the characteristic of Korean culture that highly values a sense of belonging, people also gain psychological stability from the fact that 'there are so many people of my type'.",
특성,characteristic,"特 (특: special, unique) + 性 (성: nature, character)",Noun,"또한, 소속감을 중요하게 생각하는 한국 문화의 특성상 ""나와 같은 유형의 사람들이 이렇게 많구나""라는 사실에서 심리적 안정감을 얻기도 합니다.","Also, given the characteristic of Korean culture that highly values a sense of belonging, people sometimes gain psychological stability from the fact that 'there are so many people of the same type as me'.",
나,I,Pure Korean,Noun,"또한, 소속감을 중요하게 생각하는 한국 문화의 특성상 ""나와 같은 유형의 사람들이 이렇게 많구나""라는 사실에서 심리적 안정감을 얻기도 합니다.","Also, given the characteristic of Korean culture that highly values a sense of belonging, people sometimes gain psychological stability from the fact that 'there are so many people of the same type as me'.",
사실,fact,"事 (사: matter, affair) + 實 (실: truth, reality)",Noun,"또한, 소속감을 중요하게 생각하는 한국 문화의 특성상 ""나와 같은 유형의 사람들이 이렇게 많구나""라는 사실에서 심리적 안정감을 얻기도 합니다.","Also, given the characteristic of Korean culture that highly values a sense of belonging, people sometimes gain psychological stability from the fact that 'there are so many people of the same type as me'.",
안정감,sense of stability,"安 (안: peace, safety) + 定 (정: decide, settle) + 感 (감: feeling, sense)",Noun,"또한, 소속감을 중요하게 생각하는 한국 문화의 특성상 ""나와 같은 유형의 사람들이 이렇게 많구나""라는 사실에서 심리적 안정감을 얻기도 합니다.","Also, given the characteristic of Korean culture that highly values a sense of belonging, people sometimes gain psychological stability from the fact that 'there are so many people of the same type as me'.",
물론,of course,"勿 (물: not, do not) + 論 (론: discuss, argue)",Adverb,물론 80억 인구의 다채롭고 복잡한 성격을 고작 16개의 상자에 완벽하게 나누어 담을 수는 없습니다.,"Of course, it is impossible to perfectly divide and contain the diverse and complex personalities of 8 billion people into just 16 boxes.",
인구,population,人 (인: person) + 口 (구: mouth),Noun,물론 80억 인구의 다채롭고 복잡한 성격을 고작 16개의 상자에 완벽하게 나누어 담을 수는 없습니다.,"Of course, it is impossible to perfectly divide and contain the diverse and complex personalities of 8 billion people into just 16 boxes.",
고작,merely,Pure Korean,Adverb,물론 80억 인구의 다채롭고 복잡한 성격을 고작 16개의 상자에 완벽하게 나누어 담을 수는 없습니다.,"Of course, it is impossible to perfectly divide and contain the diverse and complex personalities of 8 billion people into just 16 boxes.",
상자,box,Pure Korean,Noun,물론 80억 인구의 다채롭고 복잡한 성격을 고작 16개의 상자에 완벽하게 나누어 담을 수는 없습니다.,"Of course, it is impossible to perfectly divide and contain the diverse and complex personalities of 8 billion people into just 16 boxes.",
담다,to contain,Pure Korean,Verb,물론 80억 인구의 다채롭고 복잡한 성격을 고작 16개의 상자에 완벽하게 나누어 담을 수는 없습니다.,"Of course, it is impossible to perfectly divide and contain the diverse and complex personalities of 8 billion people into just 16 boxes.",
어제,yesterday,Pure Korean,Noun,"어제의 나와 오늘의 내가 다르듯, 인간은 상황에 따라 끊임없이 변하는 존재니까요.","Just as the 'me' of yesterday is different from the 'me' of today, humans are beings that constantly change depending on the situation.",
오늘,today,Pure Korean,Noun,"어제의 나와 오늘의 내가 다르듯, 인간은 상황에 따라 끊임없이 변하는 존재니까요.","Just as the 'me' of yesterday is different from the 'me' of today, humans are beings that constantly change depending on the situation.",
다르다,to be different,Pure Korean,Adjective,"어제의 나와 오늘의 내가 다르듯, 인간은 상황에 따라 끊임없이 변하는 존재니까요.","Just as the 'me' of yesterday is different from the 'me' of today, humans are beings that constantly change depending on the situation.",
인간,human,"人 (인: person) + 間 (간: between, space; also refers to human world/humanity)",Noun,"어제의 나와 오늘의 내가 다르듯, 인간은 상황에 따라 끊임없이 변하는 존재니까요.","Just as the 'me' of yesterday is different from the 'me' of today, humans are beings that constantly change depending on the situation.",
상황,situation,"狀 (상: form, state) + 況 (황: condition, situation)",Noun,"어제의 나와 오늘의 내가 다르듯, 인간은 상황에 따라 끊임없이 변하는 존재니까요.","Just as the 'me' of yesterday is different from the 'me' of today, humans are beings that constantly change depending on the situation.",
따르다,to depend on,Pure Korean,Verb,"어제의 나와 오늘의 내가 다르듯, 인간은 상황에 따라 끊임없이 변하는 존재니까요.","Just as the 'me' of yesterday is different from the 'me' of today, humans are beings that constantly change depending on the situation.",
끊임없이,constantly,Pure Korean,Adverb,"어제의 나와 오늘의 내가 다르듯, 인간은 상황에 따라 끊임없이 변하는 존재니까요.","Just as the 'me' of yesterday is different from the 'me' of today, humans are beings that constantly change depending on the situation.",
변하다,to change,"變 (변: change, alter) + 하다 (native verb-forming suffix)",Verb,"어제의 나와 오늘의 내가 다르듯, 인간은 상황에 따라 끊임없이 변하는 존재니까요.","Just as the 'me' of yesterday is different from the 'me' of today, humans are beings that constantly change depending on the situation.",
존재,being,"存 (존: exist, preserve) + 在 (재: exist, be)",Noun,"어제의 나와 오늘의 내가 다르듯, 인간은 상황에 따라 끊임없이 변하는 존재니까요.","Just as the 'me' of yesterday is different from the 'me' of today, humans are beings that constantly change depending on the situation.",
맹신,blind faith,"盲 (맹: blind) + 信 (신: trust, believe)",Noun,MBTI를 맹신하여 타인에게 선입견을 갖는 것은 분명 경계해야 할 태도입니다.,Having prejudice against others by blindly believing in MBTI is certainly an attitude to be wary of.,
선입견,prejudice,"先 (선: first, before) + 入 (입: enter, put in) + 見 (견: see, view)",Noun,MBTI를 맹신하여 타인에게 선입견을 갖는 것은 분명 경계해야 할 태도입니다.,Having prejudice against others by blindly believing in MBTI is certainly an attitude to be wary of.,
갖다,to have,Pure Korean,Verb,MBTI를 맹신하여 타인에게 선입견을 갖는 것은 분명 경계해야 할 태도입니다.,Having prejudice against others by blindly believing in MBTI is certainly an attitude to be wary of.,
분명,certainly,"分 (분: divide, separate) + 明 (명: bright, clear)",Adverb,MBTI를 맹신하여 타인에게 선입견을 갖는 것은 분명 경계해야 할 태도입니다.,Having prejudice against others by blindly believing in MBTI is certainly an attitude to be wary of.,
경계,caution,"警 (경: warn, alert) + 戒 (계: warn, guard)",Noun,MBTI를 맹신하여 타인에게 선입견을 갖는 것은 분명 경계해야 할 태도입니다.,Having prejudice against others by blindly believing in MBTI is certainly an attitude to be wary of.,
태도,attitude,"態 (태: attitude, form) + 度 (도: degree, standard)",Noun,MBTI를 맹신하여 타인에게 선입견을 갖는 것은 분명 경계해야 할 태도입니다.,Having prejudice against others by blindly believing in MBTI is certainly an attitude to be wary of.,
인정,acknowledgment,"認 (인: recognize, admit) + 定 (정: decide, settle)",Noun,"하지만, 나와 타인이 '다르다'는 것을 인정하고 그 차이를 긍정적으로 이해하려는 도구로 사용한다면, MBTI는 오늘날 한국 사회에서 가장 유쾌하고 흥미로운 소통의 매개체임이 틀림없습니다.","However, if MBTI is used as a tool to acknowledge that 'I' and 'others' are different and to positively understand that difference, then it is undoubtedly the most pleasant and interesting medium of communication in Korean society today.",
차이,difference,"差 (차: difference, discrepancy) + 異 (이: different, unusual)",Noun,"하지만, 나와 타인이 '다르다'는 것을 인정하고 그 차이를 긍정적으로 이해하려는 도구로 사용한다면, MBTI는 오늘날 한국 사회에서 가장 유쾌하고 흥미로운 소통의 매개체임이 틀림없습니다.","However, if MBTI is used as a tool to acknowledge that 'I' and 'others' are different and to positively understand that difference, then it is undoubtedly the most pleasant and interesting medium of communication in Korean society today.",
긍정,positivity,"肯 (긍: agree, consent) + 定 (정: decide, settle)",Noun,"하지만, 나와 타인이 '다르다'는 것을 인정하고 그 차이를 긍정적으로 이해하려는 도구로 사용한다면, MBTI는 오늘날 한국 사회에서 가장 유쾌하고 흥미로운 소통의 매개체임이 틀림없습니다.","However, if MBTI is used as a tool to acknowledge that 'I' and 'others' are different and to positively understand that difference, then it is undoubtedly the most pleasant and interesting medium of communication in Korean society today.",
이해,understanding,"理 (리: reason, principle) + 解 (해: untie, explain, understand)",Noun,"하지만, 나와 타인이 '다르다'는 것을 인정하고 그 차이를 긍정적으로 이해하려는 도구로 사용한다면, MBTI는 오늘날 한국 사회에서 가장 유쾌하고 흥미로운 소통의 매개체임이 틀림없습니다.","However, if MBTI is used as a tool to acknowledge that 'I' and 'others' are different and to positively understand that difference, then it is undoubtedly the most pleasant and interesting medium of communication in Korean society today.",
도구,tool,"道 (도: path, way) + 具 (구: implement, tool)",Noun,"하지만, 나와 타인이 '다르다'는 것을 인정하고 그 차이를 긍정적으로 이해하려는 도구로 사용한다면, MBTI는 오늘날 한국 사회에서 가장 유쾌하고 흥미로운 소통의 매개체임이 틀림없습니다.","However, if MBTI is used as a tool to acknowledge that 'I' and 'others' are different and to positively understand that difference, then it is undoubtedly the most pleasant and interesting medium of communication in Korean society today.",
사용,use,"使 (사: use, employ) + 用 (용: use, apply)",Noun,"하지만, 나와 타인이 '다르다'는 것을 인정하고 그 차이를 긍정적으로 이해하려는 도구로 사용한다면, MBTI는 오늘날 한국 사회에서 가장 유쾌하고 흥미로운 소통의 매개체임이 틀림없습니다.","However, if MBTI is used as a tool to acknowledge that 'I' and 'others' are different and to positively understand that difference, then it is undoubtedly the most pleasant and interesting medium of communication in Korean society today.",
오늘날,today,Pure Korean,Noun,"하지만, 나와 타인이 '다르다'는 것을 인정하고 그 차이를 긍정적으로 이해하려는 도구로 사용한다면, MBTI는 오늘날 한국 사회에서 가장 유쾌하고 흥미로운 소통의 매개체임이 틀림없습니다.","However, if used as a tool to acknowledge that 'I am different' from others and to positively understand that difference, MBTI is undoubtedly the most pleasant and interesting medium of communication in Korean society today.",
흥미,interest,"興 (흥: rise, exhilaration) + 味 (미: taste, flavor, interest)",Noun,"하지만, 나와 타인이 '다르다'는 것을 인정하고 그 차이를 긍정적으로 이해하려는 도구로 사용한다면, MBTI는 오늘날 한국 사회에서 가장 유쾌하고 흥미로운 소통의 매개체임이 틀림없습니다.","However, if used as a tool to acknowledge that 'I am different' from others and to positively understand that difference, MBTI is undoubtedly the most pleasant and interesting medium of communication in Korean society today.",
소통,communication,"疏 (소: clear, open up) + 通 (통: pass through, communicate)",Noun,"하지만, 나와 타인이 '다르다'는 것을 인정하고 그 차이를 긍정적으로 이해하려는 도구로 사용한다면, MBTI는 오늘날 한국 사회에서 가장 유쾌하고 흥미로운 소통의 매개체임이 틀림없습니다.","However, if used as a tool to acknowledge that 'I am different' from others and to positively understand that difference, MBTI is undoubtedly the most pleasant and interesting medium of communication in Korean society today.",
매개체,medium,"媒 (매: go-between, mediator) + 介 (개: intermediate, between) + 體 (체: body, substance, object)",Noun,"하지만, 나와 타인이 '다르다'는 것을 인정하고 그 차이를 긍정적으로 이해하려는 도구로 사용한다면, MBTI는 오늘날 한국 사회에서 가장 유쾌하고 흥미로운 소통의 매개체임이 틀림없습니다.","However, if used as a tool to acknowledge that 'I am different' from others and to positively understand that difference, MBTI is undoubtedly the most pleasant and interesting medium of communication in Korean society today.",
틀림없다,to be certain,Pure Korean,Adjective,"하지만, 나와 타인이 '다르다'는 것을 인정하고 그 차이를 긍정적으로 이해하려는 도구로 사용한다면, MBTI는 오늘날 한국 사회에서 가장 유쾌하고 흥미로운 소통의 매개체임이 틀림없습니다.","However, if used as a tool to acknowledge that 'I am different' from others and to positively understand that difference, MBTI is undoubtedly the most pleasant and interesting medium of communication in Korean society today.",
